heure,jour_semaine,camions_entrants,niveau_stock,temperature,temps_attente_min
6,0,19,4098,23.1,46.5
16,1,7,2229,23.6,11.7
19,2,19,2503,29.4,43.8
3,1,6,3429,28.8,16.0
4,1,6,688,34.8,16.0
22,4,3,2112,17.6,8.7
6,4,7,1647,17.1,20.1
12,4,19,394,29.5,47.5
14,5,8,2085,26.6,21.3
10,2,10,3217,20.5,24.8
3,4,15,1790,16.6,43.2
12,0,15,1236,16.7,44.7
6,5,1,2164,32.9,0.0
18,3,7,4555,18.8,16.2
21,0,4,4895,21.5,10.2
1,6,6,4643,19.5,13.7
9,6,1,4870,22.1,11.5
12,0,5,1107,16.4,13.6
20,4,1,2614,25.4,0.0
5,3,4,3626,16.4,13.0
11,3,2,4781,31.0,6.4
11,5,10,1347,19.7,26.5
19,3,5,4002,25.8,21.5
10,6,10,1535,32.6,26.8
22,2,1,671,28.0,1.0
6,4,6,2482,25.7,5.2
0,3,13,1345,21.5,31.7
0,5,15,2184,21.7,44.0
19,6,4,377,28.4,9.5
12,2,13,1987,34.9,21.3
8,1,15,4679,28.2,35.0
2,1,8,1365,26.2,25.0
6,2,5,4926,29.6,15.2
5,6,15,1140,24.3,33.3
7,5,4,1017,16.2,7.2
8,2,12,985,26.2,27.9
4,4,13,2852,34.2,29.2
0,4,2,121,18.5,0.0
18,1,19,4669,28.8,51.3
9,3,19,3291,19.0,53.8
11,5,4,2453,25.7,2.4
23,1,4,4899,16.9,16.2
14,3,11,786,24.0,27.0
21,3,5,384,30.1,18.6
23,4,11,4911,22.0,27.7
8,6,10,3847,28.3,25.7
19,0,8,862,30.9,21.9
16,6,6,2528,33.5,11.0
16,0,6,2607,19.7,21.0
19,2,8,128,23.0,14.4
11,4,15,1006,18.0,35.5
6,3,14,3204,34.8,37.6
1,5,11,4099,33.5,25.0
2,0,12,3094,25.8,33.9
16,6,13,2606,31.8,39.4
4,3,8,4765,25.4,25.1
16,0,18,3709,27.5,35.3
23,0,1,3653,16.8,3.1
16,0,15,1553,30.1,42.6
16,5,8,4933,17.6,13.4
1,4,11,3456,31.5,31.1
1,5,12,615,30.6,33.3
21,1,12,138,29.2,23.9
22,3,4,3442,15.7,14.2
4,4,16,986,21.1,41.4
0,4,4,2944,20.3,13.3
0,4,5,2304,22.2,7.7
18,6,5,1198,16.8,13.3
1,4,8,1923,33.7,11.5
20,5,10,3301,26.1,13.6
11,4,17,3255,21.1,43.2
5,2,9,3193,22.9,28.0
22,3,19,3630,23.9,48.8
3,4,14,3878,27.0,34.7
22,3,8,2996,25.3,19.1
10,2,9,3553,33.4,17.8
23,2,11,3611,24.9,26.4
16,3,1,1088,34.8,4.6
5,0,14,4216,32.0,32.8
23,1,5,4126,19.2,16.3
4,6,14,4279,33.6,36.0
19,0,4,1782,17.3,11.6
1,0,1,4765,31.3,6.9
5,5,19,4063,22.6,44.9
21,6,8,1033,32.6,23.3
10,6,15,3698,32.4,35.6
15,0,15,3333,31.1,39.2
15,4,9,2080,30.8,19.3
0,5,9,1955,21.1,17.9
8,5,10,3156,16.6,25.5
5,2,9,892,23.1,13.1
15,6,3,891,18.5,6.0
2,0,11,1909,28.9,19.5
19,2,6,2355,21.9,18.9
3,3,2,3710,34.5,10.3
18,1,7,1707,27.8,13.2
2,5,18,1084,31.4,47.1
18,3,2,3776,17.7,9.5
19,3,17,3480,32.2,47.0
6,4,11,619,33.5,28.6
19,1,12,690,24.7,33.7
8,3,19,1150,27.1,44.3
0,3,7,3733,30.3,17.9
7,1,6,4544,18.5,12.7
6,1,1,1059,25.1,0.0
17,3,17,792,23.0,42.7
7,1,11,3999,17.9,29.2
0,3,18,4573,22.4,50.8
10,3,17,3046,16.4,43.8
17,4,7,626,15.5,20.7
22,0,17,3324,17.7,45.8
9,3,9,2353,34.3,35.9
2,2,17,3444,26.0,33.4
6,5,8,4065,34.3,16.6
15,6,17,1975,23.6,49.9
15,0,7,1863,21.2,15.7
19,0,1,620,25.1,6.9
16,0,13,1116,23.8,33.7
1,4,19,216,17.1,58.0
0,3,19,2533,27.8,41.9
15,4,17,683,19.3,48.6
11,3,13,494,27.4,41.2
4,4,16,3888,28.0,34.9
4,4,8,2868,18.0,23.9
22,5,19,4267,16.2,42.7
8,2,18,3960,30.6,45.2
8,4,1,373,24.2,1.2
2,5,14,2113,16.2,23.0
18,1,19,4533,34.9,49.6
15,2,15,1489,16.2,38.2
15,4,18,3666,28.9,52.4
2,6,2,4802,34.7,8.1
19,0,17,265,19.8,54.0
23,1,18,1667,17.8,45.5
21,1,6,828,17.4,14.5
23,5,19,2143,21.1,46.6
0,1,4,4297,17.0,7.8
23,2,1,3596,28.8,0.0
19,4,8,878,16.2,18.9
10,4,7,313,25.2,7.2
16,6,3,3862,34.9,9.8
7,0,10,1676,31.3,18.8
3,5,10,2548,27.3,20.5
5,0,19,3036,21.1,44.2
7,1,14,3217,27.5,34.0
19,6,2,691,25.5,5.0
2,0,1,2820,23.5,7.9
15,2,18,813,17.6,42.1
2,4,7,1035,32.7,19.9
17,1,8,4437,24.0,33.7
13,6,1,101,18.9,4.4
17,0,3,2948,22.4,6.6
1,5,8,4144,23.3,16.1
21,2,15,2049,31.6,36.5
2,2,5,1017,29.7,8.1
15,0,3,3274,30.4,8.8
8,4,19,2341,15.2,48.0
3,0,1,189,23.3,0.0
0,1,15,1809,24.6,37.4
3,0,8,2269,15.4,25.4
0,2,2,4338,20.2,3.0
13,6,3,3141,30.2,4.2
20,0,14,205,17.7,28.1
15,4,14,986,25.7,25.7
19,6,11,527,19.3,31.7
23,5,16,1995,15.2,39.1
7,3,4,416,19.8,13.9
6,0,5,734,34.5,20.2
2,4,14,2025,31.0,39.6
16,6,16,2156,34.2,37.3
0,4,18,3244,24.8,45.7
15,5,7,2370,17.2,14.4
11,2,10,1539,26.0,21.5
18,4,7,652,24.1,19.2
21,6,1,815,31.9,0.0
22,4,19,4011,17.0,36.5
21,4,16,1813,24.8,35.6
13,4,19,3489,18.0,46.0
5,1,4,1207,21.5,17.6
5,1,18,4306,29.7,42.5
12,2,2,350,24.5,7.6
18,0,1,2530,22.5,1.7
21,4,15,2154,22.9,43.6
7,5,5,558,24.2,18.3
1,0,11,307,30.7,33.4
20,5,10,999,32.8,16.3
0,0,2,3561,34.1,6.0
14,2,3,3485,30.7,11.3
0,4,12,121,21.3,31.9
4,4,5,509,28.8,15.7
15,3,5,994,23.8,12.8
18,5,6,614,20.1,11.3
3,0,9,4209,31.8,14.0
2,0,2,2234,15.8,1.8
16,1,12,3695,33.0,43.4
16,3,3,3056,24.2,5.1
11,6,12,1660,27.7,20.2
13,6,17,1366,28.2,46.2
20,1,10,2269,32.9,29.3
5,1,14,3738,27.7,41.4
2,1,17,849,27.3,44.9
8,5,18,3527,16.3,49.2
4,5,19,4880,25.4,56.7
23,2,17,2027,18.0,38.8
16,2,14,3904,29.7,30.3
13,1,9,3802,25.2,17.0
20,3,8,2456,28.6,18.7
2,0,2,4890,15.8,12.2
0,5,13,2435,16.7,35.1
19,3,7,406,29.3,19.9
20,4,9,3765,16.4,13.4
22,5,11,2089,16.4,24.0
0,5,14,761,15.2,25.8
2,2,4,4744,34.1,15.9
17,0,13,411,29.8,40.4
9,0,2,3020,22.1,8.9
21,6,5,1182,20.9,7.6
2,6,11,3071,22.0,34.9
7,6,6,854,30.5,13.7
13,6,18,4230,28.2,38.9
23,4,10,4640,18.7,20.2
17,4,4,452,18.5,7.8
14,5,9,1002,17.0,22.7
21,1,6,3988,28.2,14.2
22,2,2,258,30.3,0.0
1,2,17,2077,20.3,48.6
9,6,5,1056,15.4,11.7
1,5,6,2171,16.6,11.4
16,3,12,503,34.4,35.6
7,1,10,4711,20.9,19.1
0,5,6,2879,30.4,6.9
8,1,8,1487,27.5,26.4
10,1,2,3553,22.6,14.5
21,1,12,1055,19.1,27.7
15,5,13,1812,17.4,32.3
6,6,7,4803,27.3,11.8
9,2,10,1373,30.5,25.0
22,2,13,3911,27.9,30.1
2,6,17,2725,25.6,42.0
17,1,14,2482,15.8,37.0
23,3,2,1541,34.4,0.0
12,0,11,3079,31.0,25.7
6,5,1,1897,20.9,0.0
3,0,19,4490,34.6,45.7
12,6,4,4109,27.0,9.5
19,3,19,4950,26.6,48.6
0,5,11,1494,30.0,28.7
7,6,8,4381,31.2,24.5
13,1,11,1369,28.1,19.8
15,2,4,4832,17.6,2.6
13,0,17,3814,21.8,45.1
11,4,7,629,33.6,7.3
18,4,8,3723,19.5,20.9
22,3,3,3058,22.4,1.6
14,1,2,3014,23.6,12.9
1,0,15,4989,23.8,38.8
1,1,5,3691,27.3,11.4
22,0,1,2247,33.9,8.6
21,3,4,4673,19.8,4.7
18,3,15,3469,17.4,33.1
21,4,19,1039,18.9,41.2
21,1,3,625,32.7,3.2
16,5,11,101,27.9,27.8
19,4,17,474,20.7,45.0
9,1,13,2440,31.3,37.3
5,4,11,4105,32.2,18.4
14,5,2,3152,31.9,4.1
21,2,9,4748,33.4,17.0
10,2,2,2465,20.0,4.0
4,2,9,1625,30.1,34.2
0,2,9,4576,24.2,24.0
7,6,8,1746,31.8,24.5
20,0,17,113,29.6,52.3
11,6,1,4699,30.5,8.1
11,6,11,2378,28.1,25.3
4,6,8,3255,18.5,13.6
6,2,10,229,25.9,24.8
3,5,7,3914,34.7,14.7
5,3,3,3316,33.7,0.0
12,3,3,3038,15.9,8.7
19,0,18,4028,18.3,46.3
14,2,5,2140,17.6,21.3
2,2,12,127,29.5,28.2
22,2,12,2213,31.4,31.4
7,4,19,1352,19.3,44.2
19,1,6,4456,25.1,19.4
15,4,2,2146,31.8,4.4
12,1,12,4655,29.7,24.1
17,2,19,4123,25.8,47.4
9,2,5,4496,26.8,14.5
18,4,12,3474,25.2,31.3
16,4,17,3566,21.0,47.7
23,1,17,3181,26.3,35.3
18,3,10,3878,28.8,20.8
22,1,17,729,32.5,45.7
4,4,15,369,27.7,33.9
20,5,12,2739,30.2,31.2
22,4,16,2093,18.2,27.9
8,5,19,2991,24.2,61.1
11,0,8,3532,15.2,18.7
20,4,17,1380,19.9,48.5
0,0,5,2460,29.5,10.8
0,3,16,675,34.8,42.1
14,1,6,1407,17.0,22.5
1,5,8,3292,23.0,25.8
21,1,18,3278,31.0,44.0
15,0,12,2834,19.1,29.3
7,5,15,2312,26.1,42.5
12,1,9,2452,29.7,34.2
20,4,13,3668,27.3,33.5
0,2,15,1755,18.8,47.3
15,0,10,1679,22.1,23.8
6,1,16,2303,30.7,44.8
4,0,7,1490,26.1,23.0
21,6,17,1842,15.1,40.5
22,0,7,2025,30.2,13.8
2,5,14,719,15.7,40.7
11,6,15,1374,29.9,34.8
15,5,7,1056,19.0,13.0
18,2,9,2039,34.2,19.1
4,6,19,4053,22.4,44.8
21,4,16,2481,21.5,44.3
13,0,8,1068,18.0,22.6
4,1,18,1416,21.1,48.6
14,3,18,1143,32.5,47.1
16,0,7,381,34.9,14.5
13,0,3,2944,22.4,11.0
19,2,18,1158,24.0,50.9
4,4,10,4393,29.4,27.9
11,3,7,2632,32.7,19.7
15,6,17,3928,26.9,38.7
15,6,14,1108,22.8,36.1
20,6,3,1329,23.3,3.4
6,5,12,1135,28.9,29.9
3,5,13,4685,15.1,24.3
0,1,2,375,27.4,0.0
4,3,3,2840,22.1,6.5
22,6,5,2389,30.9,9.8
9,5,11,1339,16.9,28.0
21,1,8,225,26.8,19.3
4,4,12,4165,24.6,30.2
3,1,7,4412,27.8,20.5
1,5,15,3968,16.3,35.2
19,2,17,1308,26.6,41.4
9,2,4,3349,26.2,17.3
18,6,13,1018,26.2,32.5
0,2,18,4023,27.1,44.1
23,6,1,4503,28.5,2.9
4,6,16,2069,31.1,39.2
12,5,13,2893,20.4,29.0
3,2,10,991,31.5,20.0
15,6,12,4570,25.0,26.2
23,3,2,2133,16.5,9.4
15,4,3,1464,16.2,4.4
